project_name,developer,country,city,project_type,status,total_value_usd,minimum_investment_usd,target_roi_percent,compliance_score,feasibility_score
Eko Atlantic City — Lagos Master Development,South Energyx Nigeria Limited,Nigeria,Lagos (Victoria Island Annex),Mixed Use,Under Construction,60000000000,100000,32,90,92
Tatu City — Rendeavour Master-Planned City,Rendeavour,Kenya,"Tatu City, Kiambu County",Mixed Use,Under Construction,3500000000,100000,26,70,88
Appolonia City — Rendeavour Ghana,Rendeavour Ghana,Ghana,Greater Accra (Appolonia),Mixed Use,Under Construction,250000000,50000,24,87,89
South Africa 8-Metro Urban Infrastructure Program,New Development Bank + SA Government,South Africa,"Johannesburg, Cape Town, Durban +5",Mixed Use,Approved,1000000000,150000,18,95,90
Katampe Terrace Residences — 9 Units,BETONIQ(WEST) Ltd,Nigeria,Abuja,Residential,Under Construction,850000,15000,28,88,85
Mayfair Boutique Hotel Collection,The Reuben Brothers,United Kingdom,London,Hospitality,Available,280000000,1000000,17,98,96
Lekki Deep Sea Port Commercial Zone,Dangote Port Developers,Nigeria,Lagos,Industrial,Available,320000000,2000000,31,95,92
Canary Wharf Riverside Apartments,Ballymore Group,United Kingdom,London,Residential,Available,185000000,300000,19,97,95
Nine Elms Luxury Towers,Berkeley Group,United Kingdom,London,Residential,Available,310000000,400000,18,97,95
Rixos Morocco Resort Trilogy,Alliances Group x Rixos Hotels,Morocco,Marrakech & Larache,Hospitality,Under Construction,320000000,75000,27,89,88
